ville,etablissement,inscrits,dont filles,admissibles,dont filles,classes,dont filles,entres,dont filles
AGADIR,REDA SLAOUI,10,0,0,0,0,0,0,0
AIX-EN-PROVENCE,LYCEE MILITAIRE,1,0,0,0,0,0,0,0
AIX-EN-PROVENCE,PAUL CEZANNE,1,0,0,0,0,0,0,0
AMIENS,THUILLIER,5,2,0,0,0,0,0,0
ANNECY,BERTHOLLET,5,0,0,0,0,0,0,0
ANTONY,SAINTE MARIE,2,0,0,0,0,0,0,0
AUTUN,LYCEE MILITAIRE,1,0,0,0,0,0,0,0
BESANCON,VICTOR HUGO,25,1,5,1,4,1,1,1
BEYROUTH,ECOLE SUP. D'INGENIEURS,1,0,0,0,0,0,0,0
BLOIS,F. PH. DESSAIGNES,1,0,0,0,0,0,0,0
BORDEAUX,MICHEL MONTAIGNE,32,9,5,1,4,1,4,1
BREST,KERICHEN,9,1,0,0,0,0,0,0
CAEN,MALHERBE,8,0,0,0,0,0,0,0
CASABLANCA,LYCEE LA RESIDENCE,4,0,0,0,0,0,0,0
CASABLANCA,MOHAMED V,51,9,4,0,2,0,2,0
CHARTRES,MARCEAU,1,0,0,0,0,0,0,0
CHERBOURG,VICTOR GRIGNARD,3,0,3,0,2,0,2,0
CLERMONT-FERRAND,BLAISE PASCAL,19,1,1,0,1,0,1,0
CLERMONT-FERRAND,GODEFROY DE BOUILLON,3,0,0,0,0,0,0,0
DIJON,CARNOT,22,5,4,1,2,0,1,0
EPINAL,C. GELLEE,3,0,1,0,0,0,0,0
EVRY,DU PARC DES LOGES,1,0,0,0,0,0,0,0
FES,MOULAY IDRISS,12,0,1,0,1,0,1,0
FONTAINEBLEAU,FRANCOIS 1ER,1,1,0,0,0,0,0,0
GRENOBLE,CHAMPOLLION,24,6,6,1,4,1,1,0
LA FLECHE,PRYTANEE MILITAIRE,24,4,5,1,3,0,2,0
LE HAVRE,FRANCOIS 1ER,1,0,0,0,0,0,0,0
LE RAINCY,ALBERT SCHWEITZER,4,0,0,0,0,0,0,0
LILLE,FAIDHERBE,27,7,10,3,7,2,4,0
LYON,AUX LAZARISTES,31,7,3,1,2,1,2,1
LYON,INSTITUT DES CHARTRX,1,0,0,0,0,0,0,0
LYON,LA MARTINIERE,16,2,4,0,2,0,0,0
LYON,LE PARC,67,10,26,1,22,1,12,0
MARRAKECH,IBNOU TAIMIYA,11,3,1,0,0,0,0,0
MARSEILLE,NOTRE DAME DE SION,1,0,0,0,0,0,0,0
MARSEILLE,THIERS,43,11,12,3,8,1,6,1
MAUBEUGE,NOTRE DAME DE GRACE,1,1,0,0,0,0,0,0
MEKNES,OMAR IBN EL KHATTAB,17,0,1,0,1,0,1,0
MELUN,JACQUES AMYOT,5,0,0,0,0,0,0,0
METZ,FABERT,17,2,2,0,2,0,2,0
MONASTIR,I.P.E.I,1,0,0,0,0,0,0,0
MONTBONNOT,PUPILLES DE L'AIR,1,0,0,0,0,0,0,0
MONTPELLIER,JOFFRE,25,2,1,0,0,0,0,0
MULHOUSE,A. SCHWEITZER,1,0,1,0,0,0,0,0
NANCY,HENRI POINCARE,25,5,4,1,3,0,3,0
NANTES,GEORGES CLEMENCEAU,27,3,6,0,5,0,5,0
NANTES,SAINT STANISLAS,1,0,0,0,0,0,0,0
NEUILLY SUR SEINE,PASTEUR,56,11,7,0,4,0,3,0
NICE,MASSENA,41,4,11,0,7,0,5,0
NIMES,ALPHONSE DAUDET,1,0,0,0,0,0,0,0
ORLEANS,POTHIER,16,4,1,0,1,0,0,0
ORSAY,BLAISE PASCAL,12,1,3,0,1,0,1,0
OUJDA,OMAR BEN ABDELAZIZ,10,0,0,0,0,0,0,0
PARIS 04,CHARLEMAGNE,30,3,4,0,3,0,2,0
PARIS 05,HENRI IV,80,15,27,1,23,1,14,1
PARIS 05,LOUIS LE GRAND,168,38,54,11,48,11,37,9
PARIS 06,FENELON,20,2,2,0,1,0,0,0
PARIS 06,SAINT LOUIS,98,26,7,0,7,0,4,0
PARIS 06,STANISLAS,42,1,9,0,8,0,8,0
PARIS 08,CHAPTAL,21,2,1,0,0,0,0,0
PARIS 08,SAINTE MARIE FENELON,13,1,1,0,0,0,0,0
PARIS 09,CONDORCET,37,5,7,2,6,2,6,2
PARIS 09,JACQUES DECOUR,1,0,0,0,0,0,0,0
PARIS 12,PAUL VALERY,1,1,0,0,0,0,0,0
PARIS 13,ENCPB,1,0,0,0,0,0,0,0
PARIS 15,BUFFON,11,2,0,0,0,0,0,0
PARIS 16,CLAUDE BERNARD,2,0,0,0,0,0,0,0
PARIS 16,JANSON DE SAILLY,74,14,6,0,3,0,3,0
PARIS 17,BESSIERES,1,1,0,0,0,0,0,0
PERPIGNAN,F. ARAGO,5,0,0,0,0,0,0,0
POITIERS,CAMILLE GUERIN,13,1,1,0,1,0,1,0
RABAT,AL HASSANIA,1,1,0,0,0,0,0,0
RABAT,AL KHAWARIZMI,1,0,0,0,0,0,0,0
RABAT,MOULAY YOUSSEF,31,8,5,1,2,1,2,1
REIMS,G. CLEMENCEAU,9,2,0,0,0,0,0,0
RENNES,CHATEAUBRIAND,18,2,5,0,4,0,3,0
ROUEN,CORNEILLE,33,3,5,1,4,1,3,1
SAINT MAUR LES FOSSES,MARCELIN BERTHELOT,29,5,4,1,3,1,2,0
SAINT-ETIENNE,FAURIEL,7,0,0,0,0,0,0,0
SAVIGNY SUR ORGE,J. B. COROT,2,0,1,0,0,0,0,0
SCEAUX,LAKANAL,7,3,0,0,0,0,0,0
SFAX,IPEIS,1,0,0,0,0,0,0,0
ST CYR L'ECOLE,LYCEE MILITAIRE,1,0,0,0,0,0,0,0
STRASBOURG,KLEBER,31,2,5,0,4,0,2,0
TANGER,CENTRE PEDAGOGIQUE REGION,3,0,0,0,0,0,0,0
TOULON,DUMONT D'URVILLE,2,0,0,0,0,0,0,0
TOULOUSE,BELLEVUE,6,0,0,0,0,0,0,0
TOULOUSE,PIERRE DE FERMAT,50,7,14,1,13,1,11,1
TOURS,DESCARTES,23,4,0,0,0,0,0,0
TROYES,CHRESTIEN DE TROYES,1,0,0,0,0,0,0,0
TUNIS,IPEI El Manar,1,0,0,0,0,0,0,0
TUNIS,I.P.E.I.T,3,0,0,0,0,0,0,0
TUNIS,IPEST,35,4,5,0,3,0,3,0
VALBONNE,CENTRE INTERNATIONAL,4,0,0,0,0,0,0,0
VALENCIENNES,HENRI WALLON,20,3,4,0,3,0,3,0
VANNES,LESAGE,1,0,0,0,0,0,0,0
VANVES,MICHELET,2,1,0,0,0,0,0,0
VERSAILLES,HOCHE,54,7,24,4,19,4,13,4
VERSAILLES,SAINTE GENEVIEVE,87,18,31,5,30,5,26,5
